HPO编码,标准名称（英文）,定义（英文）,标准名称（中文）,定义（中文）
HP:0007949,obsolete Progressive macular scarring,,,
HP:0007956,obsolete Bilateral choroid coloboma,,,
HP:0007961,obsolete Rarefaction of retinal pigmentation,,,
HP:0007981,obsolete Concentric narrowing of visual field,,,
HP:0007982,obsolete Central tapetoretinal dystrophy,,,
HP:0008005,obsolete Congenital corneal dystrophy,,,
HP:0008008,obsolete Progressive central visual loss,,,
HP:0008012,obsolete Congenital myopia,,,
HP:0008017,obsolete Depigmented lesions of the retinal pigment epithelium,,,
HP:0008024,obsolete Congenital nuclear cataract,,,
HP:0008033,obsolete Congenital exotropia,,,
HP:0008036,obsolete Rod-cone dystrophy,,,
HP:0008051,obsolete Abnormality of the retinal pigment epithelium,,,
HP:0008075,obsolete Progressive pes cavus,,,
HP:0008230,obsolete Decreased testosterone in males,,,
HP:0008250,obsolete Infantile hypercalcemia,,,
HP:0008335,obsolete Renal aminoaciduria,,,
HP:0008356,obsolete Combined hyperlipidemia,,,
HP:0008498,obsolete No permanent dentition,,,
HP:0008501,obsolete Median cleft lip and palate,,,
HP:0008572,obsolete External ear malformation,,,
HP:0008636,obsolete Lobular glomerulopathy,,,
HP:0008694,obsolete Hypertrophic labia minora,,,
HP:0008803,obsolete Narrow sacroiliac notch,,,
HP:0008826,obsolete Dislocation of the femoral head,,,
HP:0009042,obsolete Marked muscular hypertrophy,,,
HP:0009044,obsolete Hypoplasia of deltoid muscle,,,
HP:0009090,obsolete Facial diplegic appearance,,,
HP:0009163,obsolete Abnormal form of the 5th finger,,,
HP:0009448,obsolete Aplasia of the phalanges of the 3rd finger,,,
HP:0009449,obsolete Hypoplastic/small phalanges of the 3rd finger,,,
HP:0009595,obsolete Occasional neurofibromas,,,
HP:0009620,obsolete Radial deviation of the thumb,,,
HP:0009621,obsolete Ulnar deviation of the thumb,,,
HP:0009885,obsolete Prenatal short stature,,,
HP:0010457,obsolete Widening of the sacrosciatic notch,,,
HP:0010692,obsolete 2-5 finger syndactyly,,,
HP:0010700,obsolete Total cataract,,,
HP:0010905,obsolete Abnormality of histidine metabolism,,,
HP:0010928,obsolete Increased urinary orotic acid concentration,,,
HP:0010960,obsolete Bronchopulmonary sequestration,,,
HP:0010961,obsolete Intralobar sequestration,,,
HP:0010962,obsolete Extralobar sequestration,,,
HP:0010985,obsolete Gonosomal inheritance,,,
HP:0011016,obsolete Abnormality of urine glucose concentration,,,
HP:0011148,obsolete Absence seizures with special features,,,
HP:0011155,obsolete Focal autonomic seizures with altered responsiveness,,,
HP:0011156,obsolete Focal autonomic seizures without altered responsiveness,,,
HP:0011162,obsolete Psychic auras,,,
HP:0011164,obsolete Vegetative auras,,,
HP:0011349,obsolete Abducens palsy,,,
HP:0011357,obsolete Abnormality of hair density,,,
HP:0011398,obsolete Central hypotonia,,,
HP:0011498,obsolete Partial aniridia,,,
HP:0011606,obsolete Transposition of the great arteries with intact ventricular septum,,,
HP:0011607,obsolete Transposition of the great arteries with ventricular septal defect,,,
HP:0011765,obsolete Ectopic anterior pituitary,,,
