code,chinese_name,english_name
A48.2,非肺炎性退伍軍人病[Pontiac熱],Nonpneumonic Legionnaires' disease [Pontiac fever]
A48.3,中毒性休克症候群,Toxic shock syndrome
A48.4,巴西紫斑熱,Brazilian purpuric fever
A48.5,其他特定肉毒桿菌病,Other specified botulism
A48.51,嬰兒型肉毒桿菌病,Infant botulism
A48.52,傷口性肉毒桿菌病,Wound botulism
A48.8,其他特定細菌性疾病,Other specified bacterial diseases
A49,未明示部位之細菌感染,Bacterial infection of unspecified site
A49.0,未明示部位之葡萄球菌感染,"Staphylococcal infection, unspecified site"
A49.01,甲氧西林敏感性金黃色葡萄球菌感染,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,抗甲氧西林（抗藥性）金黃色葡萄球菌感染,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.1,未明示部位之鏈球菌感染,"Streptococcal infection, unspecified site"
A49.2,未明示部位之流行性感冒嗜血桿菌感染,"Hemophilus influenzae infection, unspecified site"
A49.3,未明示部位之黴漿菌感染,"Mycoplasma infection, unspecified site"
A49.8,其他未明示部位之細菌感染,Other bacterial infections of unspecified site
A49.9,細菌感染,"Bacterial infection, unspecified"
A50,先天性梅毒,Congenital syphilis
A50.0,有症狀之早期先天性梅毒,"Early congenital syphilis, symptomatic"
A50.01,早期先天性梅毒性眼病變,Early congenital syphilitic oculopathy
A50.02,早期先天性梅毒性骨軟骨病變,Early congenital syphilitic osteochondropathy
A50.03,早期先天性梅毒性咽炎,Early congenital syphilitic pharyngitis
A50.04,早期先天性梅毒性肺炎,Early congenital syphilitic pneumonia
A50.05,早期先天性梅毒性鼻炎,Early congenital syphilitic rhinitis
A50.06,早期先天性皮膚梅毒,Early cutaneous congenital syphilis
A50.07,早期先天性皮膚黏膜梅毒,Early mucocutaneous congenital syphilis
A50.08,早期先天性內臟梅毒,Early visceral congenital syphilis
A50.09,其他有症狀之早期先天性梅毒,"Other early congenital syphilis, symptomatic"
A50.1,潛伏性之早期先天性梅毒,"Early congenital syphilis, latent"
A50.2,早期先天性梅毒,"Early congenital syphilis, unspecified"
A50.3,晚期先天梅毒性眼病變,Late congenital syphilitic oculopathy
A50.30,晚期先天梅毒性眼病變,"Late congenital syphilitic oculopathy, unspecified"
A50.31,晚期先天梅毒性間質角膜炎,Late congenital syphilitic interstitial keratitis
A50.32,晚期先天梅毒性脈絡膜視網膜炎,Late congenital syphilitic chorioretinitis
A50.39,其他晚期先天性梅毒眼病變,Other late congenital syphilitic oculopathy
A50.4,晚期先天性神經梅毒 [幼年神經梅毒],Late congenital neurosyphilis [juvenile neurosyphilis]
A50.40,晚期先天性神經梅毒,"Late congenital neurosyphilis, unspecified"
A50.41,晚期先天性梅毒性腦膜炎,Late congenital syphilitic meningitis
A50.42,晚期先天性梅毒性腦炎,Late congenital syphilitic encephalitis
A50.43,晚期先天性神經梅毒多神經病變,Late congenital syphilitic polyneuropathy
A50.44,晚期先天性梅毒視神經萎縮,Late congenital syphilitic optic nerve atrophy
A50.45,幼年全身性輕癱症,Juvenile general paresis
A50.49,其他晚期先天性神經梅毒,Other late congenital neurosyphilis
A50.5,有症狀之其他晚期先天性梅毒,"Other late congenital syphilis, symptomatic"
A50.51,克勞頓氏關節,Clutton's joints
A50.52,漢金森氏牙,Hutchinson's teeth
A50.53,漢金森氏三聯症,Hutchinson's triad
A50.54,晚期先天性心血管梅毒,Late congenital cardiovascular syphilis
A50.55,晚期先天性梅毒關節病變,Late congenital syphilitic arthropathy
A50.56,晚期先天性梅毒骨軟骨病變,Late congenital syphilitic osteochondropathy
A50.57,梅毒性馬鞍鼻,Syphilitic saddle nose
A50.59,有症狀之其他晚期先天性梅毒,"Other late congenital syphilis, symptomatic"
A50.6,潛伏性之晚期先天性梅毒,"Late congenital syphilis, latent"
A50.7,晚期先天性梅毒,"Late congenital syphilis, unspecified"
A50.9,先天性梅毒,"Congenital syphilis, unspecified"
